id,link,screen_name,source,text,time,user_id
926278334652264448,https://www.twitter.com/RepRickLarsen/statuses/926278334652264448,RepRickLarsen,Twitter for Android,"Fyi: kickoff at 748pm, not 1048pm, East coast people. You do not live in our time zone. Stay up if you want. https://twitter.com/SeattleNews360/status/926277514309316609 QT @SeattleNews360 Seattle Sounders vs. Vancouver Whitecaps: Time, TV schedule and how to watch 2017 MLS playoffs online  http://zpr.io/nH4D7",2017-11-03T02:42:19Z,404132211
926277924403245063,https://www.twitter.com/alexburnsNYT/statuses/926275986802597888,brianschatz,Twitter for iPhone,RT @alexburnsNYT Key voter groups of 2044: “Bernie Would Have Won Moms” and “But Her Emails Dads”,2017-11-03T02:40:41Z,47747074
926277663756603394,https://www.twitter.com/RoKhanna/statuses/926277663756603394,RoKhanna,Twitter for iPhone,@changermindset @BrandenAgain @WarrenDavidson @davidfking @CJNyeArt They argued that war powers didn’t apply. We argued it applied. They would have been able to deprivilege and kill bill.,2017-11-03T02:39:39Z,771152516
926277454037241856,https://www.twitter.com/RoKhanna/statuses/926277454037241856,RoKhanna,Twitter for iPhone,@changermindset @BrandenAgain @WarrenDavidson @davidfking @CJNyeArt We had no choice. They would have removed the privilege and killed the bill if we didn’t compromise.,2017-11-03T02:38:49Z,771152516
926277149782429697,https://www.twitter.com/tomangell/statuses/926156978593857536,mattgaetz,Twitter for iPhone,"RT @tomangell GOP Rep. @mattgaetz *slams* Chris Christie’s ignorant remarks comparing medical marijuana to opioids.

https://www.marijuanamoment.net/marijuana-poll-military-veterans-strongly-support-legal-access/ http://pbs.twimg.com/media/DNpe2C7W4AAddge.jpg",2017-11-03T02:37:36Z,58579942
926277038801080320,https://www.twitter.com/HouseForeign/statuses/926277038801080320,HouseForeign,Buffer,Chmn @RepEdRoyce urges admin to relist North Korea as state sponsor of terrorism https://buff.ly/2ypxGBe http://pbs.twimg.com/media/DNrMDoAW0AEx5MO.jpg,2017-11-03T02:37:10Z,75367781
926276945431678976,https://www.twitter.com/RoKhanna/statuses/926276945431678976,RoKhanna,Twitter for iPhone,@WarrenDavidson Thank you for your leadership with your Amendment. We insisted on language of our troops being unauthorized in the compromise resolution,2017-11-03T02:36:47Z,771152516
926276393687756800,https://www.twitter.com/RepRickLarsen/statuses/926276393687756800,RepRickLarsen,Twitter for Android,"Ugh https://twitter.com/atrupar/status/926270891918528516 QT @atrupar Trump says he's not worried about unfilled State Department roles b/c ""the one that matters is me. I am the only one that matters."" http://pbs.twimg.com/ext_tw_video_thumb/926270793029443584/pu/img/bNjL_MSWA3iHpNjo.jpg https://video.twimg.com/ext_tw_video/926270793029443584/pu/pl/giW6Y-dz5kRIR-BK.m3u8",2017-11-03T02:34:36Z,404132211
926276328130863104,https://www.twitter.com/RoKhanna/statuses/926276328130863104,RoKhanna,Twitter for iPhone,"@changermindset @BrandenAgain @WarrenDavidson @davidfking @CJNyeArt But we needed to do it to keep 81 alive, to have a debate, and to build momentum for senate to introduce.",2017-11-03T02:34:20Z,771152516
926276165861560322,https://www.twitter.com/RoKhanna/statuses/926276165861560322,RoKhanna,Twitter for iPhone,"@changermindset @BrandenAgain @WarrenDavidson @davidfking @CJNyeArt Needs to go much further on humanitarian assistance, on calling out Saudis and the compromise resolution over states Iran role.",2017-11-03T02:33:41Z,771152516
